id,category,keywords,name,similar_games,involved_companies,platforms,release_dates,genres,themes
87239,0,,Edge Runner,,,,,,
122784,0,,Evol Online,,,,,,
77380,0,,Mr. Angry,,,,,,
60762,0,"[296, 350, 698, 982, 2049, 6867, 9430]",Tatsu no Ko Fighter,"[8255, 19150, 24426, 26226, 37001, 55190, 56033, 76960, 89597]",,[86],[119110],"[8, 25]",[27]
135342,0,"[78, 521]",Fallen Legion Revenants,"[28010, 57372, 78632, 80916, 81249, 96217, 103303, 105049, 106987, 115280]","[131282, 131283]","[48, 130]","[224300, 224301, 224302, 224303, 315034, 315035]","[12, 31]",[1]
108764,0,,StarHorse Pocket,,,,,,
76220,1,"[541, 1308, 3257]",Dead by Daylight: The Last Breath Chapter,"[18866, 26192, 68287, 89562, 102584, 103298, 106079, 109550, 111130, 115835]","[58533, 58534]",[6],[129545],,"[1, 19, 21, 23]"
72929,0,,Nova Usagi no Game de Ryuugaku!? DS,,,,,,
85978,0,,Scenery Collection: Set B,,,,,,
156129,0,,Destroy The Hexons,,,,,,
134069,0,"[281, 2004, 2555, 3384, 9116, 24124, 25327, 29426]",Toadette Strikes,"[28070, 115276, 134068, 134295, 134296, 135090, 135094, 135096, 135098, 135125]","[99398, 101459]",[6],[196406],[8],[1]
58140,0,,Rock Gods Tap Tour,,,,,,
58149,0,[166],Space Warrior: The Origin,"[10212, 69020, 70998, 73199, 77475, 78198, 78577, 80837, 82702]",,,,,
58788,0,[4222],Fly to KUMA,"[53016, 56876, 57190, 58336, 59093, 60196, 76368, 81065, 83158]",,,,,
106463,0,,Boom Brothers,"[32902, 37419, 40524, 76263, 96217, 105233, 111130, 113895, 119121, 119493]",,,,[32],[1]
107933,0,,Whispering Flames,"[65827, 75948, 94741, 106992, 111043, 113895, 115850, 119788, 120028, 121309]",,,,[32],
15262,0,"[103, 107]",Metal Masters,"[1235, 1236, 17548, 61985, 72605, 80282, 89550, 112589, 114145]","[111963, 111964, 111965, 111966]","[16, 33, 63]","[42117, 216535, 216536]",[4],
28029,0,[3603],Half-Life 3,"[306, 55038, 103276, 103298, 103301, 103329, 105049, 105269, 113114, 113362]",[96884],,,[5],"[1, 18]"
116716,0,,Horse Riding Tales,"[25311, 35994, 37419, 78632, 81680, 96217, 103303, 105049, 106987, 120268]",,,,"[10, 12, 13, 31]",[1]
176459,0,,Dangers Afloat,"[11362, 17613, 17886, 55888, 65827, 76340, 77038, 111043, 112754, 119156]",,,,[15],
67706,5,"[5, 69, 453, 1120, 2511, 6732]",Zombie Panic!,"[13189, 13210, 18225, 19817, 25646, 28751, 37016, 58388, 77034, 103298]",,[6],[214762],[5],"[1, 19]"
134593,0,"[386, 1074, 23127, 25755]",Ungrounded,"[10039, 28070, 37419, 55190, 89597, 96217, 111130, 113895, 116681]",[101612],"[3, 6, 14]","[199578, 199579, 199580]","[8, 32]",[1]
43191,0,,Power League IV,"[14733, 109606, 116343, 116349, 116350, 116351, 116352, 116353, 120795]",,[86],[90735],[14],
91470,0,,Silas,,,,,,
74562,0,,Re: Zero -Life in Another World in VR,,,,,,
119404,0,,Golf Construction Set,"[14733, 109606, 116343, 116349, 116350, 116351, 116352, 116353, 120795]",[79942],[15],[171206],[14],
56171,0,[1495],Pillow Fort,"[76253, 100800, 103301, 103302, 111130, 112589, 113895, 115276, 120268]",,,,,[1]
79272,0,"[2875, 4158]",Ballochet 3,"[10141, 10603, 18011, 25222, 26223, 60044, 82953, 87507, 95776]",,,,[9],
131738,0,,Now That's What I Call Games 2,"[25311, 28070, 79392, 89597, 105049, 111130, 116681, 118313, 120268]",[93766],[114],[190165],"[8, 15, 31, 33]",[1]
108767,0,,Shooters Solitude System4,,,,,,
15202,0,,All Aboard!: The Microgauge Train Set,,,[63],[42016],,
77279,0,"[117, 1025, 1495, 4134]",Qualia,"[19376, 20329, 36198, 38030, 55190, 58095, 68286, 75242, 78770]",,,,[5],
28304,0,[2139],30th Century Post Office,"[28277, 65827, 75948, 81275, 102420, 106992, 108778, 111130, 113895]",[46206],"[6, 163]","[159658, 159659]",[32],
24264,0,,A Witch's Tale,"[1447, 35737, 49414, 51213, 56036, 99118, 111287, 112082, 112191, 112416]","[93292, 93293]",[20],[189164],[12],
677,0,"[56, 992, 1375, 1495, 2049, 4134, 4698]",EF2000 v2.0,"[17130, 19150, 20342, 44242, 55173, 55190, 56033, 63138, 77529]","[1573, 1574]",[6],[2850],"[8, 13]",[32]
74887,0,[2132],Heat Wave: Offshore Superboat Racing,"[78511, 96476, 103301, 105011, 109292, 113895, 114286, 118871, 120268]","[56209, 56210]","[13, 15, 16, 63]","[124203, 124204, 124205, 124206]",[10],"[1, 32]"
38463,0,,King's Field: Additional II,"[1447, 25636, 35737, 49414, 50786, 51213, 56036, 111287, 112082]",,[38],[87180],[12],
28315,0,"[72, 1099, 2871, 3692]",Solo,"[27266, 28070, 55190, 80916, 89597, 96217, 106987, 106992, 108778, 110503]","[135090, 135091]","[6, 130]","[151797, 249771]","[8, 9, 12, 31, 32]",
56443,0,,blockor.io,,,,,,
25373,0,,Pac-Man Pizza Parlor,"[37419, 44242, 76263, 81680, 85546, 105011, 117717, 118871, 121587]","[88306, 88307, 88308]",[6],[181491],[13],"[1, 28]"
163087,0,,Project HP,"[2254, 15430, 89550, 109277, 112589, 114145, 136824, 139059, 143393, 144022]",[144367],,,[4],
99399,0,,Rising Super Chef 2,,,,,,
26389,0,[125],V,"[25311, 25646, 89550, 103281, 103329, 105269, 108797, 111187, 119305]","[42735, 42736]","[15, 25, 26]","[62475, 62476, 62477]",[9],"[1, 18]"
176483,0,,Droplet,"[10603, 19222, 41349, 86974, 87507, 88511, 90766, 90788, 95776, 106992]",,,,[9],
41284,0,"[350, 358, 846, 1027, 1148, 1313, 1333, 1416, 1523, 1705, 1834, 1935, 2045, 2052, 2147, 2396, 2452, 4142, 4241, 4260, 4429, 4592, 4599, 4788, 4850, 4855, 4958, 4984, 5179, 5267, 5610, 5916, 6482, 6609, 6631, 6734, 7155, 7454, 9182, 9404, 11043, 11460]",Nakayama Miho no Tokimeki High School,"[7364, 8968, 15830, 17548, 18841, 26145, 35371, 35994, 51945]","[119356, 119357, 119358]",[51],[228908],"[13, 31, 34]","[27, 44]"
78988,0,"[166, 4754]",Swoop,"[10209, 10210, 10211, 10212, 10213, 89550, 103281, 111187, 113114]",,,,,[18]
133817,0,"[5, 1484, 1937, 24697, 24910]",Dangerous Fellows,"[19075, 102584, 105059, 112750, 117139, 120434, 121749, 133750, 133751]","[109012, 109418]","[34, 39]","[211837, 211838, 211839, 211840]",[34],
11021,0,"[45, 778, 915]",Trainz Simulator: Classic Cabon City,"[27744, 38967, 44242, 78511, 79134, 102805, 103218, 114286, 121435]",[37975],[6],[54353],[13],[32]
